npi,taxid,plan_group_alias,billing_code,billing_code_type,negotiated_type, negotiated_rate_cal 
1063466035,621801360,bcbs_tx_ppo,0319U,CPT/HCPC,negotiated,9849.6
1063466035,621801360,bcbs_tx_ppo,0319U,CPT/HCPC,negotiated,9849.6
1063466035,621801360,bcbs_tx_ppo,84143,CPT/HCPC,negotiated,69.34
1063466035,621801360,bcbs_tx_ppo,84143,CPT/HCPC,negotiated,69.34
1063466035,621801360,bcbs_tx_ppo,54328,CPT/HCPC,negotiated,4467.44
1063466035,621801360,bcbs_tx_ppo,54322,CPT/HCPC,negotiated,4467.44
1063466035,621801360,bcbs_tx_ppo,54324,CPT/HCPC,negotiated,4467.44
1063466035,621801360,bcbs_tx_ppo,54326,CPT/HCPC,negotiated,2621.89
1063466035,621801360,bcbs_tx_ppo,54336,CPT/HCPC,negotiated,4467.44
1063466035,621801360,bcbs_tx_ppo,54332,CPT/HCPC,negotiated,4467.44
1063466035,621801360,bcbs_tx_ppo,U0002,CPT/HCPC,negotiated,155.98
1063466035,621801360,bcbs_tx_ppo,U0002,CPT/HCPC,negotiated,155.98
1063466035,621801360,bcbs_tx_ppo,U0004,CPT/HCPC,negotiated,304
1063466035,621801360,bcbs_tx_ppo,93319,CPT/HCPC,negotiated,90.77
1063466035,621801360,bcbs_tx_ppo,93319,CPT/HCPC,negotiated,90.77
1063466035,621801360,bcbs_tx_ppo,76376,CPT/HCPC,negotiated,45.99
1063466035,621801360,bcbs_tx_ppo,76376,CPT/HCPC,negotiated,45.99
1063466035,621801360,bcbs_tx_ppo,76377,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,76377,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,77295,CPT/HCPC,negotiated,722.8
1063466035,621801360,bcbs_tx_ppo,77295,CPT/HCPC,negotiated,722.8
1063466035,621801360,bcbs_tx_ppo,0694T,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,0694T,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,S5010,CPT/HCPC,negotiated,10.25
1063466035,621801360,bcbs_tx_ppo,S5010,CPT/HCPC,negotiated,10.25
1063466035,621801360,bcbs_tx_ppo,J7121,CPT/HCPC,negotiated,9.7
1063466035,621801360,bcbs_tx_ppo,J7121,CPT/HCPC,negotiated,9.7
1063466035,621801360,bcbs_tx_ppo,S5012,CPT/HCPC,negotiated,5.04
1063466035,621801360,bcbs_tx_ppo,S5012,CPT/HCPC,negotiated,5.04
1063466035,621801360,bcbs_tx_ppo,J7042,CPT/HCPC,negotiated,3.29
1063466035,621801360,bcbs_tx_ppo,J7042,CPT/HCPC,negotiated,3.29
1063466035,621801360,bcbs_tx_ppo,J7060,CPT/HCPC,negotiated,14.86
1063466035,621801360,bcbs_tx_ppo,J7060,CPT/HCPC,negotiated,14.86
1063466035,621801360,bcbs_tx_ppo,38747,CPT/HCPC,negotiated,414.43
1063466035,621801360,bcbs_tx_ppo,38747,CPT/HCPC,negotiated,414.43
1063466035,621801360,bcbs_tx_ppo,49083,CPT/HCPC,negotiated,1163.16
1063466035,621801360,bcbs_tx_ppo,49082,CPT/HCPC,negotiated,1163.16
1063466035,621801360,bcbs_tx_ppo,51845,CPT/HCPC,negotiated,6321.88
1063466035,621801360,bcbs_tx_ppo,81170,CPT/HCPC,negotiated,912
1063466035,621801360,bcbs_tx_ppo,81170,CPT/HCPC,negotiated,912
1063466035,621801360,bcbs_tx_ppo,0739T,CPT/HCPC,negotiated,1599.94
1063466035,621801360,bcbs_tx_ppo,55880,CPT/HCPC,negotiated,6532.57
1063466035,621801360,bcbs_tx_ppo,20982,CPT/HCPC,negotiated,8853.29
1063466035,621801360,bcbs_tx_ppo,20983,CPT/HCPC,negotiated,8853.29
1063466035,621801360,bcbs_tx_ppo,32994,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,32998,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,47383,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,47382,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,50592,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,0673T,CPT/HCPC,negotiated,2126.75
1063466035,621801360,bcbs_tx_ppo,19105,CPT/HCPC,negotiated,4483.73
1063466035,621801360,bcbs_tx_ppo,0601T,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,0600T,CPT/HCPC,negotiated,7153.89
1063466035,621801360,bcbs_tx_ppo,0581T,CPT/HCPC,negotiated,1599.94
1063466035,621801360,bcbs_tx_ppo,0581T,CPT/HCPC,negotiated,1599.94
1063466035,621801360,bcbs_tx_ppo,50250,CPT/HCPC,negotiated,1876.43
1063466035,621801360,bcbs_tx_ppo,50250,CPT/HCPC,negotiated,1876.43
1063466035,621801360,bcbs_tx_ppo,47381,CPT/HCPC,negotiated,2265.26
1063466035,621801360,bcbs_tx_ppo,47381,CPT/HCPC,negotiated,2265.26
1063466035,621801360,bcbs_tx_ppo,47380,CPT/HCPC,negotiated,2231.66
1063466035,621801360,bcbs_tx_ppo,47380,CPT/HCPC,negotiated,2231.66
1063466035,621801360,bcbs_tx_ppo,0441T,CPT/HCPC,negotiated,2544.64
1063466035,621801360,bcbs_tx_ppo,0442T,CPT/HCPC,negotiated,8153.33
1063466035,621801360,bcbs_tx_ppo,0440T,CPT/HCPC,negotiated,2544.64
1063466035,621801360,bcbs_tx_ppo,50593,CPT/HCPC,negotiated,12451.4
1063466035,621801360,bcbs_tx_ppo,30802,CPT/HCPC,negotiated,1997.02
1063466035,621801360,bcbs_tx_ppo,30801,CPT/HCPC,negotiated,1997.02
1063466035,621801360,bcbs_tx_ppo,0491T,CPT/HCPC,negotiated,472.87
1063466035,621801360,bcbs_tx_ppo,0221U,CPT/HCPC,negotiated,1298.87
1063466035,621801360,bcbs_tx_ppo,0221U,CPT/HCPC,negotiated,1298.87
1063466035,621801360,bcbs_tx_ppo,15786,CPT/HCPC,negotiated,258.6
1063466035,621801360,bcbs_tx_ppo,78434,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,78434,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,0742T,CPT/HCPC,negotiated,109.4
1063466035,621801360,bcbs_tx_ppo,A2020,CPT/HCPC,negotiated,27.19
1063466035,621801360,bcbs_tx_ppo,A4342,CPT/HCPC,negotiated,1491.24
1063466035,621801360,bcbs_tx_ppo,E2209,CPT/HCPC,negotiated,195.29
1063466035,621801360,bcbs_tx_ppo,E2209,CPT/HCPC,negotiated,195.29
1063466035,621801360,bcbs_tx_ppo,27120,CPT/HCPC,negotiated,1991.1
1063466035,621801360,bcbs_tx_ppo,27120,CPT/HCPC,negotiated,1991.1
1063466035,621801360,bcbs_tx_ppo,27122,CPT/HCPC,negotiated,1694.01
1063466035,621801360,bcbs_tx_ppo,27122,CPT/HCPC,negotiated,1694.01
1063466035,621801360,bcbs_tx_ppo,80143,CPT/HCPC,negotiated,56.67
1063466035,621801360,bcbs_tx_ppo,80143,CPT/HCPC,negotiated,56.67
1063466035,621801360,bcbs_tx_ppo,82013,CPT/HCPC,negotiated,37.36
1063466035,621801360,bcbs_tx_ppo,82013,CPT/HCPC,negotiated,37.36
1063466035,621801360,bcbs_tx_ppo,J7608,CPT/HCPC,negotiated,3
1063466035,621801360,bcbs_tx_ppo,J7608,CPT/HCPC,negotiated,3
1063466035,621801360,bcbs_tx_ppo,10040,CPT/HCPC,negotiated,258.6
1063466035,621801360,bcbs_tx_ppo,92570,CPT/HCPC,negotiated,409.52
1063466035,621801360,bcbs_tx_ppo,92570,CPT/HCPC,negotiated,409.52
1063466035,621801360,bcbs_tx_ppo,92568,CPT/HCPC,negotiated,98.95
1063466035,621801360,bcbs_tx_ppo,92568,CPT/HCPC,negotiated,98.95
1063466035,621801360,bcbs_tx_ppo,23130,CPT/HCPC,negotiated,4051.43
1063466035,621801360,bcbs_tx_ppo,80402,CPT/HCPC,negotiated,264.36
1063466035,621801360,bcbs_tx_ppo,80402,CPT/HCPC,negotiated,264.36
1063466035,621801360,bcbs_tx_ppo,80406,CPT/HCPC,negotiated,237.91
1063466035,621801360,bcbs_tx_ppo,80406,CPT/HCPC,negotiated,237.91
