npi,taxid,plan_group_alias,billing_code,billing_code_type,negotiated_type,negotiated_rate_cal
1821004151,741109665,aetna_open_access_managed,97162,CPT,negotiated,225.15
1821004151,741109665,aetna_open_access_managed,72081,CPT,negotiated,442.89
1821004151,741109665,aetna_open_access_managed,82570,CPT,negotiated,38.76
1821004151,741109665,aetna_open_access_managed,99282,CPT,negotiated,501.91
1821004151,741109665,aetna_open_access_managed,J7042,CPT,negotiated,7.91
1821004151,741109665,aetna_open_access_managed,72082,CPT,negotiated,660.63
1821004151,741109665,aetna_open_access_managed,82726,CPT,negotiated,100.89
1821004151,741109665,aetna_open_access_managed,72148,CPT,negotiated,3025.56
1821004151,741109665,aetna_open_access_managed,J1100,CPT,negotiated,3.76
1821004151,741109665,aetna_open_access_managed,J0702,CPT,negotiated,18.81
1821004151,741109665,aetna_open_access_managed,62368,CPT,negotiated,678.87
1821004151,741109665,aetna_open_access_managed,73070,CPT,negotiated,329.46
1821004151,741109665,aetna_open_access_managed,84550,CPT,negotiated,48.45
1821004151,741109665,aetna_open_access_managed,96372,CPT,negotiated,145.92
1821004151,741109665,aetna_open_access_managed,90715,CPT,negotiated,0.01
1821004151,741109665,aetna_open_access_managed,76825,CPT,negotiated,2595.21
1821004151,741109665,aetna_open_access_managed,83021,CPT,negotiated,96.9
1821004151,741109665,aetna_open_access_managed,90474,CPT,negotiated,8.46
1821004151,741109665,aetna_open_access_managed,76770,CPT,negotiated,858.42
1821004151,741109665,aetna_open_access_managed,76828,CPT,negotiated,416.1
1821004151,741109665,aetna_open_access_managed,90670,CPT,negotiated,0.01
1821004151,741109665,aetna_open_access_managed,92526,CPT,negotiated,283.29
1821004151,741109665,aetna_open_access_managed,76816,CPT,negotiated,457.71
1821004151,741109665,aetna_open_access_managed,36415,CPT,negotiated,40.47
1821004151,741109665,aetna_open_access_managed,73100,CPT,negotiated,335.73
1821004151,741109665,aetna_open_access_managed,83655,CPT,negotiated,92.34
1821004151,741109665,aetna_open_access_managed,U0003,CPT,negotiated,205.2
1821004151,741109665,aetna_open_access_managed,95813,CPT,negotiated,2262.9
1821004151,741109665,aetna_open_access_managed,76817,CPT,negotiated,557.46
1821004151,741109665,aetna_open_access_managed,76604,CPT,negotiated,717.06
1821004151,741109665,aetna_open_access_managed,99218,CPT,negotiated,217.31
1821004151,741109665,aetna_open_access_managed,76801,CPT,negotiated,653.22
1821004151,741109665,aetna_open_access_managed,90698,CPT,negotiated,386.32
1821004151,741109665,aetna_open_access_managed,84156,CPT,negotiated,70.68
1821004151,741109665,aetna_open_access_managed,87086,CPT,negotiated,198.93
1821004151,741109665,aetna_open_access_managed,76882,CPT,negotiated,354.83
1821004151,741109665,aetna_open_access_managed,77073,CPT,negotiated,69.54
1821004151,741109665,aetna_open_access_managed,85044,CPT,negotiated,53.01
1821004151,741109665,aetna_open_access_managed,97112,CPT,negotiated,147.63
1821004151,741109665,aetna_open_access_managed,788,DRG,negotiated,11964.59
1821004151,741109665,aetna_open_access_managed,86141,CPT,negotiated,139.65
1821004151,741109665,aetna_open_access_managed,76827,CPT,negotiated,709.08
1821004151,741109665,aetna_open_access_managed,54150,CPT,negotiated,1726.41
1821004151,741109665,aetna_open_access_managed,84590,CPT,negotiated,119.13
1821004151,741109665,aetna_open_access_managed,76811,CPT,negotiated,853.29
1821004151,741109665,aetna_open_access_managed,93303,CPT,negotiated,1442.1
1821004151,741109665,aetna_open_access_managed,97802,CPT,negotiated,82.65
1821004151,741109665,aetna_open_access_managed,74019,CPT,negotiated,234.27
1821004151,741109665,aetna_open_access_managed,G0463,CPT,negotiated,88.92
1821004151,741109665,aetna_open_access_managed,72190,CPT,negotiated,127.68
1821004151,741109665,aetna_open_access_managed,92567,CPT,negotiated,194.37
1821004151,741109665,aetna_open_access_managed,83036,CPT,negotiated,67.26
1821004151,741109665,aetna_open_access_managed,80061,CPT,negotiated,313.5
1821004151,741109665,aetna_open_access_managed,77072,CPT,negotiated,519.84
1821004151,741109665,aetna_open_access_managed,76818,CPT,negotiated,946.77
1821004151,741109665,aetna_open_access_managed,70551,CPT,negotiated,1725.62
1821004151,741109665,aetna_open_access_managed,785,DRG,negotiated,11529.94
1821004151,741109665,aetna_open_access_managed,90633,CPT,negotiated,0.01
1821004151,741109665,aetna_open_access_managed,C9803,CPT,negotiated,47.88
1821004151,741109665,aetna_open_access_managed,G0378,CPT,negotiated,190.38
1821004151,741109665,aetna_open_access_managed,82306,CPT,negotiated,155.61
1821004151,741109665,aetna_open_access_managed,560,DRG,negotiated,5905.68
1821004151,741109665,aetna_open_access_managed,76870,CPT,negotiated,836.76
1821004151,741109665,aetna_open_access_managed,639,DRG,negotiated,15941.12
1821004151,741109665,aetna_open_access_managed,84439,CPT,negotiated,118.56
1821004151,741109665,aetna_open_access_managed,36416,CPT,negotiated,72
1821004151,741109665,aetna_open_access_managed,93005,CPT,negotiated,319.2
1821004151,741109665,aetna_open_access_managed,807,DRG,negotiated,8542.56
1821004151,741109665,aetna_open_access_managed,43762,CPT,negotiated,538.65
1821004151,741109665,aetna_open_access_managed,86611,CPT,negotiated,71.25
1821004151,741109665,aetna_open_access_managed,806,DRG,negotiated,9125.51
1821004151,741109665,aetna_open_access_managed,76885,CPT,negotiated,782.61
1821004151,741109665,aetna_open_access_managed,41010,CPT,negotiated,1655.85
1821004151,741109665,aetna_open_access_managed,88108,CPT,negotiated,219.45
1821004151,741109665,aetna_open_access_managed,J7120,CPT,negotiated,15.87
1821004151,741109665,aetna_open_access_managed,J1885,CPT,negotiated,19.77
1821004151,741109665,aetna_open_access_managed,90696,CPT,negotiated,195.65
1821004151,741109665,aetna_open_access_managed,92507,CPT,negotiated,345.99
1821004151,741109665,aetna_open_access_managed,90686,CPT,negotiated,0.01
1821004151,741109665,aetna_open_access_managed,J7050,CPT,negotiated,4.46
1821004151,741109665,aetna_open_access_managed,97530,CPT,negotiated,143.07
1821004151,741109665,aetna_open_access_managed,69610,CPT,negotiated,6969.07
1821004151,741109665,aetna_open_access_managed,76536,CPT,negotiated,803.13
1821004151,741109665,aetna_open_access_managed,90680,CPT,negotiated,173.44
1821004151,741109665,aetna_open_access_managed,99285,CPT,negotiated,4062.25
1821004151,741109665,aetna_open_access_managed,A9562,CPT,negotiated,1764.15
