HCode,Name,Facility Type,City,State,County,Zip Code,Zip,Corp Hcode,Contract/Corp Entity Name,Tax ID,BCBSTX ID,Facility Medicare Id,Provider Count
10251,Womans Hospital Of Texas,Acute Care Gen,Houston,TX,Harris,77054,770,366234,HCA Houston Healthcare,621810381,,450674,1
10262,Del Sol Medical Center,Acute Care Gen,El Paso,TX,El Paso,79925,799,31280,El Paso Healthcare System,742499952,,450646,1
11120,Hospitals of Providence Sierra Campus,Acute Care Gen,El Paso,TX,El Paso,79902,799,701482,Tenet Healthcare-National,954537720,,450668,1
11122,Childrens Medical Center Dallas,Acute Care Gen,Dallas,TX,Dallas,75235,752,385388,Childrens Medical Center of Dallas,750800628,,453302,1
11142,Hospitals of Providence Memorial Campus,Acute Care Gen,El Paso,TX,El Paso,79902,799,701482,Tenet Healthcare-National,954537720,,450002,1
11174,Las Palmas Medical Center,Acute Care Gen,El Paso,TX,El Paso,79902,799,31280,El Paso Healthcare System,742499952,,450646,1
11189,Memorial Hermann Baptist Beaumont-West,Acute Care Gen,Beaumont,TX,Jefferson,77701,777,321678,Baptist Hospitals of Southeast Texas,741303720,,450346,1
11281,McAllen Medical Center,Acute Care Gen,McAllen,TX,Hidalgo,78503,785,321367,Edinburg Regional Medical Center,233069260,,450119,1
11320,Texas Health Presbyterian Hospital Dallas,Acute Care Gen,Dallas,TX,Dallas,75231,752,140283,Texas Health Resources,751047527,,450462,1
11369,Dallas Medical Center,Acute Care Gen,Dallas,TX,Dallas,75234,752,707450,Prime Healthcare Services,271459658,,450379,1
11902,Texas Health Presbyterian Hospital Kaufman,Acute Care Gen,Kaufman,TX,Kaufman,75142,751,140283,Texas Health Resources,752771437,,450292,1
12027,Glen Oaks Hospital Behavioral Health Center,Behavioral Health,Greenville,TX,Hunt,75401,754,12027,Glen Oaks Hospital Behavioral Health Center,232357811,,-,1
12115,University Of Texas Medical Branch at Galveston,Acute Care Gen,Galveston,TX,Galveston,77555,775,91094,Utmb Healthcare Systems,746000949,,450018,1
12154,Driscoll Childrens Hospital,Acute Care Gen,Corpus Christi,TX,Nueces,78411,784,321354,Driscoll Childrens Hospital,742577746,,453301,1
12157,Medical City Dallas,Acute Care Gen,Dallas,TX,Dallas,75230,752,91114,North Texas Division - HCA,621682198,,450647,1
12162,Cornerstone Specialty Hospitals Houston Medical Center,Acute Care Gen,Houston,TX,Harris,77004,770,428543,Vibra HealthCare,821629253,,452046,1
12163,Ascension Seton Northwest,Acute Care Gen,Austin,TX,Travis,78759,787,24298,Seton Family of Hospitals,741109643,,450687,1
12165,Christus Spohn Hospital Corpus Christi Shoreline,Acute Care Gen,Corpus Christi,TX,Nueces,78404,784,207627,Christus Health Ark-La-Tex,741109836,,450046,1
12166,St Joseph Medical Center,Acute Care Gen,Houston,TX,Harris,77002,770,12166,St Joseph Medical Center,204835578,,450035,1
12169,UT Southwestern University Hospital,Acute Care Gen,Dallas,TX,Dallas,75390,753,140283,Texas Health Resources,753175630,,450044,1
12172,Texas Childrens Hospital,Acute Care Gen,Houston,TX,Harris,77030,770,207274,Texas Childrens Hospital,741100555,,453304,1
12173,Valley Baptist Medical Center-Harlingen,Acute Care Gen,Harlingen,TX,Cameron,78550,785,701482,Tenet Healthcare-National,452662980,,450033,1
12611,Millwood Hospital,Behavioral Health,Arlington,TX,Tarrant,76011,760,321874,Millwood Hospital,201021264,,454012,1
12679,HCA Houston Healthcare Conroe,Acute Care Gen,Conroe,TX,Montgomery,77304,773,366234,HCA Houston Healthcare,621801361,,450222,1
12715,Encompass Health Rehabilitation Hospital of San Antonio,Physical Rehab,San Antonio,TX,Bexar,78240,782,24029,Encompass Health,631105930,,453031,1
20278,Medical City Plano,Acute Care Gen,Plano,TX,Collin,75075,750,91114,North Texas Division - HCA,621682203,,450651,1
20390,HCA Houston Healthcare West,Acute Care Gen,Houston,TX,Harris,77082,770,366234,HCA Houston Healthcare,621801363,,450644,1
21095,Texas Health Presbyterian Hospital Plano,Acute Care Gen,Plano,TX,Collin,75093,750,140283,Texas Health Resources,752770738,,450771,1
21280,Northeast Methodist Hospital,Acute Care Gen,Live Oak,TX,Bexar,78233,782,88210,Methodist Healthcare System of San Antonio - HCA,742730328,,450388,1
21283,OakBend Medical Center,Acute Care Gen,Richmond,TX,Fort Bend,77469,774,323054,PHCS Direct Contracts,760339462,,450330,1
21323,Mann Berkeley Eye Center,Other,Houston,TX,Harris,77002,770,21323,Mann Berkeley Eye Center,741772891,,-,1
21356,Nacogdoches Medical Center,Acute Care Gen,Nacogdoches,TX,Nacogdoches,75965,759,701482,Tenet Healthcare-National,760354630,,450656,1
21357,Medical City Lewisville,Acute Care Gen,Lewisville,TX,Denton,75057,750,91114,North Texas Division - HCA,621682210,,450669,1
21359,Christus Spohn Hospital Alice(JMH),Acute Care Gen,Alice,TX,Jim Wells,78332,783,323054,PHCS Direct Contracts,621762451,,-,1
21422,Femcare Center,Diagnostic Service,Houston,TX,Harris,77065,770,21422,Femcare Center,760242254,,-,1
21501,Heights Diagnostic Imaging Center,Diagnostic Service,Houston,TX,Harris,77008,770,21501,Heights Diagnostic Imaging Center,760503694,,-,1
21546,Clarity Child Guidance Center,Behavioral Health,San Antonio,TX,Bexar,78229,782,691255,Clarity Child Guidance Center,741153067,,00R18T,1
21685,CHRISTUS Childrens,Acute Care Gen,San Antonio,TX,Bexar,78207,782,207627,Christus Health Ark-La-Tex,741109665,,450237,1
21702,Health Images Of Bay Terrace,Diagnostic Service,Webster,TX,Harris,77598,775,21702,Health Images Of Bay Terrace,581947871,,-,1
21840,Medical City Fort Worth,Acute Care Gen,Ft Worth,TX,Tarrant,76104,761,91114,North Texas Division - HCA,621682202,,450672,1
21953,HCA Houston Healthcare Kingwood,Acute Care Gen,Kingwood,TX,Montgomery,77339,773,366234,HCA Houston Healthcare,621619857,,450755,1
22038,South Orange County Lithotripters,Outpatient Services,Austin,TX,Williamson,78717,787,68396,HealthTronics Laboratory Solutions,510490960,,-,1
23079,Dallas Regional Medical Center,Acute Care Gen,Mesquite,TX,Dallas,75149,751,707450,Prime Healthcare Services,472177648,,450688,1
23081,Midland Memorial Hospital,Acute Care Gen,Midland,TX,Midland,79701,797,206355,Midland County Hospital District,751584559,,450133,1
23084,Memorial Hermann Greater Heights Hospital,Acute Care Gen,Houston,TX,Harris,77008,770,39708,Memorial Hermann Hospital System,741152597,,450184,1
23085,Memorial Hermann Southeast Hospital,Acute Care Gen,Houston,TX,Harris,77089,770,39708,Memorial Hermann Hospital System,741152597,,450184,1
23088,Memorial Hermann The Woodlands Medical Center,Acute Care Gen,Shenandoah,TX,Montgomery,77380,773,39708,Memorial Hermann Hospital System,741152597,,450184,1
23090,CHI St Joseph Health Grimes Hospital,Acute Care Gen,Navasota,TX,Grimes,77868,778,322379,St Joseph Regional Health Center,741282696,,-,1
23092,Rio Grande Regional Hospital,Acute Care Gen,McAllen,TX,Hidalgo,78503,785,321185,Rio Grande Regional Hospital,621656022,,450711,1
23093,Texas Health Seay Behavioral Health Hospital,Behavioral Health,Plano,TX,Collin,75093,750,140283,Texas Health Resources,752770738,,45S771,1
23097,Memorial City Health and Rehabilitation Center,Long Term,Houston,TX,Harris,77055,770,304198,SavaSeniorCare Administrative Services,760339462,,676258,1
23097,Memorial City Health and Rehabilitation Center,Long Term,Houston,TX,Harris,77055,770,304198,SavaSeniorCare Administrative Services,205072998,,676258,1
23097,Memorial City Health and Rehabilitation Center,Physical Rehab,Houston,TX,Harris,77055,770,304198,SavaSeniorCare Administrative Services,760339462,,676258,1
23097,Memorial City Health and Rehabilitation Center,Physical Rehab,Houston,TX,Harris,77055,770,304198,SavaSeniorCare Administrative Services,205072998,,676258,1
23177,Texas Health Surgery Center Arlington,Outpatient Services,Arlington,TX,Tarrant,76012,760,140283,Texas Health Resources,752055800,,451005,1
23307,East El Paso Surgery Center,Outpatient Services,El Paso,TX,El Paso,79915,799,31280,El Paso Healthcare System,621846494,,-,1
23315,Texas Health Surgery Center Fort Worth Midtown,Outpatient Services,Fort Worth,TX,Tarrant,76104,761,140283,Texas Health Resources,751925497,,451011,1
23322,Texas Health Surgery Center Dallas,Outpatient Services,Dallas,TX,Dallas,75231,752,140283,Texas Health Resources,742411643,,451063,1
23654,Centre For Neuro Skills,Long Term,Irving,TX,Dallas,75063-2544,750,356421,Centre for Neuro Skills,752088848,,-,1
23654,Centre For Neuro Skills,Physical Rehab,Irving,TX,Dallas,75063-2544,750,356421,Centre for Neuro Skills,752088848,,-,1
23661,Encompass Health Rehabilitation Hospital of Fort Worth,Physical Rehab,Fort Worth,TX,Tarrant,76102,761,24029,Encompass Health,630923506,,453041,1
23678,Navarro Regional Hospital,Acute Care Gen,Corsicana,TX,Navarro,75110,751,720872,Community Health Systems,621762428,,450447,1
23680,Encompass Health Rehabilitation Hospital of Plano,Physical Rehab,Plano,TX,Collin,75075,750,24029,Encompass Health,251661222,,453047,1
23867,Kelsey-Seybold Clinic Ambulatory Surgical Center,Outpatient Services,Houston,TX,Harris,77025,770,733929,Kelsey-Seybold Clinic,842241460,,-,1
23987,Sundown Ranch,Behavioral Health,Canton,TX,Van Zandt,75103,751,23987,Sundown Ranch,752195214,,3624868,1
24279,Kindred Hospital Houston Medical Center Acute Rehab Unit,Acute Care Gen,Houston,TX,Harris,77030,770,731498,Kindred Healthcare Operating,522085561,,45TA23,1
25023,Encompass Health Rehabilitation Hospital of City View,Physical Rehab,Fort Worth,TX,Tarrant,76132,761,24029,Encompass Health,251587575,,453042,1
25037,Parkview Regional Hospital,Acute Care Gen,Mexia,TX,Limestone,76667,766,757630,Scion Health,621692446,,450400,1
26871,Gramercy Outpatient Surgery Center,Outpatient Services,Houston,TX,Harris,77025,770,366234,HCA Houston Healthcare,752399524,,451061,1
27064,Plum Creek Specialty Hospital,Long Term,Amarillo,TX,Potter,79124,791,27064,Plum Creek Specialty Hospital,472940380,,452066,1
27263,Mabee Rehabilitation Center,Diagnostic Service,Fort Worth,TX,Tarrant,76104,761,206090,Ameripath Texas,751376600,,-,1
27263,Mabee Rehabilitation Center,Physical Rehab,Fort Worth,TX,Tarrant,76104,761,206090,Ameripath Texas,751376600,,-,1
28010,Hendrick Medical Center Brownwood,Acute Care Gen,Brownwood,TX,Brown,76801,768,321615,Hendrick Medical Center,851941193,,450587,1
28050,Medical City Surgery Center McKinney,Outpatient Services,McKinney,TX,Collin,75069,750,91114,North Texas Division - HCA,800002697,,ASC206,1
28779,Orthofix,Home Care,Lewisville,TX,Denton,75056,750,322932,Orthofix US,752608036,,-,1
28779,Orthofix,Other,Lewisville,TX,Denton,75056,750,322932,Orthofix US,752608036,,-,1
29476,San Antonio Residence and Rehabilitation Center,Home Care,San Antonio,TX,Bexar,78230,782,713014,Paragon Healthcare Group,475458315,,455742,1
29476,San Antonio Residence and Rehabilitation Center,Long Term,San Antonio,TX,Bexar,78230,782,713014,Paragon Healthcare Group,475458315,,455742,1
29476,San Antonio Residence and Rehabilitation Center,Physical Rehab,San Antonio,TX,Bexar,78230,782,713014,Paragon Healthcare Group,475458315,,455742,1
29485,Sharpview Residence and Rehabilitation Center,Home Care,Houston,TX,Harris,77036,770,713014,Paragon Healthcare Group,475458098,,675852,1
29485,Sharpview Residence and Rehabilitation Center,Long Term,Houston,TX,Harris,77036,770,713014,Paragon Healthcare Group,475458098,,675852,1
29485,Sharpview Residence and Rehabilitation Center,Physical Rehab,Houston,TX,Harris,77036,770,713014,Paragon Healthcare Group,475458098,,675852,1
29580,Christus Trinity Mother Frances Rehabilitation Hospital,Physical Rehab,Tyler,TX,Smith,75701,757,24029,Encompass Health,251675784,,453056,1
29823,Las Palmas Lifecare Center,Physical Rehab,El Paso,TX,El Paso,79902,799,31280,El Paso Healthcare System,742499952,,-,1
29825,Columbia Physical Therapy Center-East,Physical Rehab,El Paso,TX,El Paso,79936,799,29825,Columbia Physical Therapy Center-East,742618222,,-,1
29871,Odessa Regional Medical Center,Acute Care Gen,Odessa,TX,Ector,79761,797,323054,PHCS Direct Contracts,621795574,,450661,1
30140,Encompass Health Rehabilitation Hospital of Humble,Physical Rehab,Humble,TX,Harris,77338,773,24029,Encompass Health,464003807,,453029,1
30168,Baptist Beaumont Hospital,Acute Care Gen,Beaumont,TX,Jefferson,77701,777,321678,Baptist Hospitals of Southeast Texas,741303720,,450346,1
30399,Cornerstone Specialty Hospitals Austin,Acute Care Gen,Austin,TX,Travis,78756,787,213737,Cornerstone Healthcare Group Holding,472638917,,452034,1
30412,Encompass Health Rehabilitation Hospital of Wichita Falls,Physical Rehab,Wichita Falls,TX,Wichita,76302,763,24029,Encompass Health,251664933,,453054,1
30414,Bay Area Corpus Christi Medical Center,Acute Care Gen,Corpus Christi,TX,Nueces,78412,784,323054,PHCS Direct Contracts,752387418,,450788,1
30556,Encompass Health Rehabilitation Hospital of Texarkana,Physical Rehab,Texarkana,TX,Bowie,75501,755,24029,Encompass Health,631105916,,453053,1
30601,Apria Healthcare,Home Care,Austin,TX,Travis,78758,787,386451,Apria Healthcare,330057155,,0326910237,1
31190,Hanger Clinic,Other,Fort Worth,TX,Tarrant,76104,761,95082,Linkia,200800593,,0414330126,1
