npi,taxid,billing_code,billing_code_type,negotiated_type,aetna_open_access_managed,bcbs_tx_ppo,cigna_national_oap,uhc_choice_plus
1740233782,741152597,1,DRG,negotiated,191204.76,151520.75,378930.94,393623.21
1740233782,741152597,100,DRG,negotiated,28411.56,29011.02,25862.42,26865.18
1740233782,741152597,101,DRG,negotiated,18463.76,13735.55,12136.89,12607.48
1740233782,741152597,102,DRG,negotiated,25248.86,17828.08,15481.1,16081.35
1740233782,741152597,103,DRG,negotiated,34533.71,12824.9,11207.95,11642.51
1740233782,741152597,123,DRG,negotiated,22377.14,11855.49,10686.93,11101.29
1740233782,741152597,124,DRG,negotiated,33602.23,21676.32,18857.62,19588.79
1740233782,741152597,125,DRG,negotiated,2131.45,12940.86,11606.45,12056.47
1740233782,741152597,142,DRG,negotiated,54325.98,24816.45,22909.99,23798.27
1740233782,741152597,143,DRG,negotiated,33926.37,46070.69,42712.71,44368.81
1740233782,741152597,144,DRG,negotiated,18844.45,27234.55,24358.61,25303.06
1740233782,741152597,145,DRG,negotiated,51342.33,32187.03,16260.61,16891.08
1740233782,741152597,146,DRG,negotiated,27127.43,31557.45,27117.17,28168.59
1740233782,741152597,149,DRG,negotiated,26847.51,11394.76,10164.56,10558.68
1740233782,741152597,152,DRG,negotiated,27183.03,16705.61,16124.64,16749.83
1740233782,741152597,153,DRG,negotiated,33331.57,11026.79,9296.2,9656.64
1740233782,741152597,154,DRG,negotiated,71732.61,29495.25,20233.54,21018.06
1740233782,741152597,155,DRG,negotiated,23317.45,14061.78,12376.54,12856.41
1740233782,741152597,156,DRG,negotiated,21695.18,10179.52,9177.73,9533.57
1740233782,741152597,157,DRG,negotiated,21648.68,24369.63,22507.44,23380.12
1740233782,741152597,158,DRG,negotiated,15647.43,13917.99,12508.47,12993.46
1740233782,741152597,159,DRG,negotiated,25911.14,10252.19,10095.9,10487.35
1740233782,741152597,163,DRG,negotiated,74948,77410.13,65210.73,67739.14
1740233782,741152597,164,DRG,negotiated,60487.42,41058.23,34770.89,36119.06
1740233782,741152597,165,DRG,negotiated,49593.92,29632.55,25941.85,26947.7
1740233782,741152597,166,DRG,negotiated,23324.23,57569.03,49352.67,51266.21
1740233782,741152597,167,DRG,negotiated,33120.52,28118.92,25594.51,26586.88
1740233782,741152597,168,DRG,negotiated,42672.25,20940.38,19085.15,19825.14
1740233782,741152597,175,DRG,negotiated,43006.45,23902.71,18805.12,19534.25
1740233782,741152597,176,DRG,negotiated,17057.49,13726.28,11007.35,11434.14
1740233782,741152597,177,DRG,negotiated,25472.29,28588.94,23962.79,24891.9
1740233782,741152597,178,DRG,negotiated,15289.25,18673.8,14634.28,15201.7
1740233782,741152597,179,DRG,negotiated,29742.47,13492.81,10573.84,10983.82
1740233782,741152597,180,DRG,negotiated,31234.81,26900.59,22804.98,23689.19
1740233782,741152597,181,DRG,negotiated,16736.33,17317.87,15263,15854.79
1740233782,741152597,182,DRG,negotiated,13190.38,12245.11,11948.41,12411.69
1740233782,741152597,183,DRG,negotiated,25531.54,52394.63,22159.45,20144.95
1740233782,741152597,184,DRG,negotiated,21191.03,34984.65,18392.21,16720.2
1740233782,741152597,186,DRG,negotiated,19330.39,23868.69,20555.31,21352.3
1740233782,741152597,187,DRG,negotiated,37221.85,15969.67,14080.95,14626.91
1740233782,741152597,189,DRG,negotiated,17630.65,18956.73,16249.84,16879.9
1740233782,741152597,190,DRG,negotiated,19524.67,17395.17,14614.09,15180.72
1740233782,741152597,191,DRG,negotiated,10575.77,13672.16,11634.72,12085.84
1740233782,741152597,192,DRG,negotiated,18594.64,10754.67,8779.22,9119.62
1740233782,741152597,193,DRG,negotiated,21364.25,20284.83,17484.4,18162.32
1740233782,741152597,194,DRG,negotiated,18861.73,13356.76,11311.61,11750.2
1740233782,741152597,195,DRG,negotiated,18739.81,10293.93,8640.55,8975.57
1740233782,741152597,196,DRG,negotiated,20397.42,26880.49,23394.66,24301.73
1740233782,741152597,199,DRG,negotiated,20702.33,27675.19,23676.03,24594.02
1740233782,741152597,20,DRG,negotiated,188876.4,159820.36,125250.33,130106.65
1740233782,741152597,200,DRG,negotiated,12523.13,16643.77,14432.34,14991.92
1740233782,741152597,201,DRG,negotiated,12299.99,10971.13,9799.72,10179.68
1740233782,741152597,202,DRG,negotiated,14533.17,14950.79,12464.05,12947.31
1740233782,741152597,203,DRG,negotiated,13663.19,10930.93,8981.17,9329.39
1740233782,741152597,204,DRG,negotiated,24772.69,12269.85,10896.95,11319.46
1740233782,741152597,205,DRG,negotiated,37877.8,26048.69,23977.6,24907.28
1740233782,741152597,206,DRG,negotiated,16587.22,13698.45,12027.84,12494.2
1740233782,741152597,207,DRG,negotiated,139292.25,88685.84,88396.71,91824.11
1740233782,741152597,208,DRG,negotiated,42174.58,39345.15,35005.15,36362.4
1740233782,741152597,21,DRG,negotiated,110357.82,116630.05,91403,94946.96
1740233782,741152597,215,DRG,negotiated,108776.87,163243.42,94410.11,144090.25
1740233782,741152597,216,DRG,negotiated,166042.55,155217.62,131155.2,136240.47
1740233782,741152597,217,DRG,negotiated,64428.57,100241.39,85473.89,88787.97
1740233782,741152597,218,DRG,negotiated,89198.93,94455.89,79952.72,83052.72
1740233782,741152597,219,DRG,negotiated,151164.39,124578.55,109431.3,113674.28
1740233782,741152597,22,DRG,negotiated,52540.98,74874.53,58678.49,60953.62
1740233782,741152597,220,DRG,negotiated,125209.82,83571.34,73172.75,76009.87
1740233782,741152597,221,DRG,negotiated,83970.73,70809.83,63701.53,66171.43
1740233782,741152597,222,DRG,negotiated,33317.43,122930.41,103080.81,107077.55
1740233782,741152597,224,DRG,negotiated,47730.21,116252.81,95441.9,99142.46
1740233782,741152597,226,DRG,negotiated,24900.8,101501.47,86175.32,89516.59
1740233782,741152597,227,DRG,negotiated,12084.86,80584.28,67593.68,70214.49
1740233782,741152597,228,DRG,negotiated,120764.22,82411.77,66349.7,68922.28
1740233782,741152597,229,DRG,negotiated,97720.71,53204.39,44440.02,46163.09
1740233782,741152597,23,DRG,negotiated,114890.64,87693.25,77161.84,80153.63
1740233782,741152597,231,DRG,negotiated,187146.35,134756.53,112997.65,117378.9
1740233782,741152597,232,DRG,negotiated,201974.52,92051.7,78863.56,81921.33
1740233782,741152597,233,DRG,negotiated,150912.03,122486.68,104269.59,108312.43
1740233782,741152597,234,DRG,negotiated,135176.86,82499.9,69823.16,72530.41
1740233782,741152597,235,DRG,negotiated,124269.58,94375.49,80643.37,83770.15
1740233782,741152597,236,DRG,negotiated,99927.44,63343.72,54907.5,57036.42
1740233782,741152597,239,DRG,negotiated,71718.77,74460.18,62604.3,65031.65
1740233782,741152597,24,DRG,negotiated,84800.85,60900.88,53162.69,55223.97
1740233782,741152597,240,DRG,negotiated,67544.78,43117.64,36541.27,37958.09
1740233782,741152597,242,DRG,negotiated,134081.55,149844.26,46763.73,48576.9
1740233782,741152597,243,DRG,negotiated,16747.84,38938.53,31557.27,32780.84
1740233782,741152597,244,DRG,negotiated,21343.05,31900.68,25594.51,26586.88
1740233782,741152597,246,DRG,negotiated,48531.18,48304.8,40327.07,41890.67
1740233782,741152597,247,DRG,negotiated,33355.62,30507.65,25707.6,26704.36
1740233782,741152597,249,DRG,negotiated,24820.35,28969.28,24458.23,25406.55
1740233782,741152597,25,DRG,negotiated,99945.22,151157.61,86744.91,78859.01
1740233782,741152597,250,DRG,negotiated,38812.71,38989.55,32576.42,33839.5
1740233782,741152597,251,DRG,negotiated,32420.19,25640.52,21881.41,22729.82
1740233782,741152597,252,DRG,negotiated,82025.04,51418.65,45010.85,46756.05
1740233782,741152597,253,DRG,negotiated,45042.29,41027.31,36000.06,37395.89
1740233782,741152597,254,DRG,negotiated,24456.56,28075.63,24617.1,25571.57
1740233782,741152597,255,DRG,negotiated,27643.24,39198.27,34540.67,35879.92
1740233782,741152597,256,DRG,negotiated,31964,25420.98,21974.31,22826.32
1740233782,741152597,257,DRG,negotiated,30841.14,18015.16,14118.65,14666.07
1740233782,741152597,258,DRG,negotiated,33809.04,48981.99,38387.05,39875.43
1740233782,741152597,259,DRG,negotiated,18937.15,32301.12,26846.57,27887.49
1740233782,741152597,26,DRG,negotiated,35189.81,102913.82,30542.1,27765.54
1740233782,741152597,260,DRG,negotiated,42364.42,55154.03,47101.65,48927.92
1740233782,741152597,261,DRG,negotiated,54828.24,30827.69,25725.1,26722.54
1740233782,741152597,262,DRG,negotiated,14442.37,26379.56,22574.76,23450.05
1740233782,741152597,263,DRG,negotiated,47922.89,35764.39,37507.92,38962.21
1740233782,741152597,264,DRG,negotiated,36057.53,50303.91,44558.49,46286.15
1740233782,741152597,266,DRG,negotiated,39572.87,108967.58,88865.22,92310.79
1740233782,741152597,267,DRG,negotiated,29854.26,86550.68,69477.16,72170.99
1740233782,741152597,268,DRG,negotiated,105592.01,107659.58,93174.73,96787.39
1740233782,741152597,269,DRG,negotiated,36059.57,66715.76,57571.83,59804.06
1740233782,741152597,27,DRG,negotiated,42995.3,84505.62,37316.68,33924.25
1740233782,741152597,270,DRG,negotiated,69945.86,80196.21,68830.93,71499.71
1740233782,741152597,271,DRG,negotiated,52785.55,55124.65,46902.4,48720.94
1740233782,741152597,272,DRG,negotiated,51224.49,41563.81,34955.33,36310.65
1740233782,741152597,273,DRG,negotiated,45525.01,59164.61,54027.02,56121.8
1740233782,741152597,274,DRG,negotiated,39664.11,50814.12,45228.95,46982.61
1740233782,741152597,280,DRG,negotiated,27001.79,24844.28,21626.96,22465.5
1740233782,741152597,281,DRG,negotiated,19933.06,14388.01,12367.11,12846.62
1740233782,741152597,282,DRG,negotiated,18195.14,11226.23,9648.93,10023.05
1740233782,741152597,283,DRG,negotiated,63110.7,28830.13,25830.11,26831.62
1740233782,741152597,284,DRG,negotiated,6771.54,11184.49,9900.69,10284.57
1740233782,741152597,286,DRG,negotiated,36453.53,33029.33,28555.02,29662.18
1740233782,741152597,287,DRG,negotiated,26051.36,17240.56,14811.99,15386.3
1740233782,741152597,288,DRG,negotiated,22424.8,41518.97,36302.98,37710.55
1740233782,741152597,29,DRG,negotiated,30308.13,50971.82,46011.15,47795.14
1740233782,741152597,291,DRG,negotiated,19272.45,19609.19,17229.95,17898
1740233782,741152597,292,DRG,negotiated,15541.54,13350.57,11615.88,12066.26
1740233782,741152597,293,DRG,negotiated,14794.35,9120.44,7543.32,7835.8
1740233782,741152597,296,DRG,negotiated,71120.9,24663.39,22056.43,22911.63
