npi,taxid,billing_code,billing_code_type,negotiated_type,aetna_open_access_managed,bcbs_tx_ppo,cigna_national_oap,uhc_choice_plus
1730132234,741152597,100,DRG,negotiated,30504.02,29011.02,25862.42,26865.18
1730132234,741152597,101,DRG,negotiated,19194.98,13735.55,12136.89,12607.48
1730132234,741152597,102,DRG,negotiated,42553.39,17828.08,15481.10,16081.35
1730132234,741152597,103,DRG,negotiated,20482.54,12824.90,11207.95,11642.51
1730132234,741152597,11,DRG,negotiated,122938.52,112571.98,69539.09,72235.32
1730132234,741152597,123,DRG,negotiated,31516.40,11855.49,10686.93,11101.29
1730132234,741152597,125,DRG,negotiated,15528.86,12940.86,11606.45,12056.47
1730132234,741152597,145,DRG,negotiated,37810.61,18933.54,16260.61,16891.08
1730132234,741152597,146,DRG,negotiated,23117.26,31557.45,27117.17,28168.59
1730132234,741152597,149,DRG,negotiated,21045.86,11394.76,10164.56,10558.68
1730132234,741152597,152,DRG,negotiated,51093.39,16705.61,16124.64,16749.83
1730132234,741152597,153,DRG,negotiated,11616.71,11026.79,9296.20,9656.64
1730132234,741152597,155,DRG,negotiated,13842.31,14061.78,12376.54,12856.41
1730132234,741152597,158,DRG,negotiated,15740.85,13917.99,12508.47,12993.46
1730132234,741152597,163,DRG,negotiated,81697.39,77410.13,65210.73,67739.14
1730132234,741152597,164,DRG,negotiated,62309.00,41058.23,34770.89,36119.06
1730132234,741152597,165,DRG,negotiated,55460.50,29632.55,25941.85,26947.70
1730132234,741152597,166,DRG,negotiated,48726.99,57569.03,49352.67,51266.21
1730132234,741152597,167,DRG,negotiated,44032.17,28118.92,25594.51,26586.88
1730132234,741152597,175,DRG,negotiated,32980.75,23902.71,18805.12,19534.25
1730132234,741152597,176,DRG,negotiated,21922.84,13726.28,11007.35,11434.14
1730132234,741152597,177,DRG,negotiated,24930.68,28588.94,23962.79,24891.90
1730132234,741152597,178,DRG,negotiated,18963.75,18673.80,14634.28,15201.70
1730132234,741152597,179,DRG,negotiated,24578.55,13492.81,10573.84,10983.82
1730132234,741152597,180,DRG,negotiated,41195.58,26900.59,22804.98,23689.19
1730132234,741152597,181,DRG,negotiated,27877.75,17317.87,15263.00,15854.79
1730132234,741152597,183,DRG,negotiated,28361.64,52394.63,24615.76,22377.96
1730132234,741152597,184,DRG,negotiated,31094.30,34984.65,26987.51,24534.10
1730132234,741152597,186,DRG,negotiated,37384.58,23868.69,20555.31,21352.30
1730132234,741152597,187,DRG,negotiated,31933.68,15969.67,14080.95,14626.91
1730132234,741152597,188,DRG,negotiated,19268.59,11278.80,9747.21,10125.14
1730132234,741152597,189,DRG,negotiated,22976.10,18956.73,16249.84,16879.90
1730132234,741152597,190,DRG,negotiated,17188.44,17395.17,14614.09,15180.72
1730132234,741152597,191,DRG,negotiated,41842.20,13672.16,11634.72,12085.84
1730132234,741152597,192,DRG,negotiated,4673.47,10754.67,8779.22,9119.62
1730132234,741152597,193,DRG,negotiated,23139.42,20284.83,17484.40,18162.32
1730132234,741152597,194,DRG,negotiated,17046.56,13356.76,11311.61,11750.20
1730132234,741152597,195,DRG,negotiated,11424.91,10293.93,8640.55,8975.57
1730132234,741152597,196,DRG,negotiated,26897.87,26880.49,23394.66,24301.73
1730132234,741152597,197,DRG,negotiated,210090.75,173597.19,13242.21,13755.65
1730132234,741152597,199,DRG,negotiated,37131.49,27675.19,23676.03,24594.02
1730132234,741152597,20,DRG,negotiated,177394.22,159820.36,125250.33,130106.65
1730132234,741152597,200,DRG,negotiated,14577.04,16643.77,14432.34,14991.92
1730132234,741152597,201,DRG,negotiated,13700.14,10971.13,9799.72,10179.68
1730132234,741152597,202,DRG,negotiated,18792.13,14950.79,12464.05,12947.31
1730132234,741152597,203,DRG,negotiated,13415.34,10930.93,8981.17,9329.39
1730132234,741152597,204,DRG,negotiated,63646.84,12269.85,10896.95,11319.46
1730132234,741152597,205,DRG,negotiated,26165.33,26048.69,23977.60,24907.28
1730132234,741152597,206,DRG,negotiated,23581.48,13698.45,12027.84,12494.20
1730132234,741152597,207,DRG,negotiated,124726.73,88685.84,88396.71,91824.11
1730132234,741152597,208,DRG,negotiated,57762.77,39345.15,35005.15,36362.40
1730132234,741152597,21,DRG,negotiated,148175.86,116630.05,91403.00,94946.96
1730132234,741152597,215,DRG,negotiated,98446.18,163243.42,85443.86,144090.25
1730132234,741152597,216,DRG,negotiated,115496.31,155217.62,131155.20,136240.47
1730132234,741152597,217,DRG,negotiated,103298.71,100241.39,85473.89,88787.97
1730132234,741152597,219,DRG,negotiated,152753.43,124578.55,109431.30,113674.28
1730132234,741152597,222,DRG,negotiated,170643.81,146398.93,103080.81,107077.55
1730132234,741152597,224,DRG,negotiated,40367.50,116252.81,95441.90,99142.46
1730132234,741152597,225,DRG,negotiated,33523.52,86856.81,68091.82,70731.93
1730132234,741152597,226,DRG,negotiated,51890.72,101501.47,86175.32,89516.59
