npi,taxid,billing_code,billing_code_type,negotiated_type,aetna_open_access_managed,bcbs_tx_ppo,cigna_national_oap,uhc_choice_plus
1982666111,741152597,1,DRG,negotiated,810850.61,642560.86,520533.97,728791.97
1982666111,741152597,2,DRG,negotiated,206784.56,163867.01,249171.51,185857.82
1982666111,741152597,3,DRG,negotiated,537651.78,357979.75,498918.72,487852.13
1982666111,741152597,4,DRG,negotiated,385245.67,223391.88,357492.12,349562.54
1982666111,741152597,5,DRG,negotiated,457029.37,362174.22,210961.06,173089.82
1982666111,741152597,6,DRG,negotiated,209083.48,165688.79,88943.19,72976.32
1982666111,741152597,7,DRG,negotiated,537533.29,425969.78,225761.81,185233.57
1982666111,741152597,8,DRG,negotiated,455770.74,361176.82,103401.8,84839.35
1982666111,741152597,11,DRG,negotiated,157645.31,94085.97,95525.21,78376.74
1982666111,741152597,12,DRG,negotiated,74445.16,71815.17,72302.29,59322.75
1982666111,741152597,13,DRG,negotiated,191236.39,51035.84,52306.58,42916.62
1982666111,741152597,20,DRG,negotiated,268264.46,193684.37,172055.23,141168.27
1982666111,741152597,21,DRG,negotiated,255986.48,141342.56,125559.46,103019.32
1982666111,741152597,22,DRG,negotiated,94060.93,90739.54,80606.1,66135.88
1982666111,741152597,23,DRG,negotiated,187493.38,106274.39,105996.51,86968.26
1982666111,741152597,24,DRG,negotiated,98019.5,73805.04,73029.11,59919.09
1982666111,741152597,25,DRG,negotiated,126530.46,129628.56,117415.06,114810.66
1982666111,741152597,26,DRG,negotiated,112147.77,88256.03,104068.52,101760.16
1982666111,741152597,27,DRG,negotiated,89350.43,72469.67,82913.52,81074.41
1982666111,741152597,28,DRG,negotiated,168055.87,109107.42,108698.48,89185.18
1982666111,741152597,29,DRG,negotiated,137713.64,61772.14,63205.09,51858.66
1982666111,741152597,30,DRG,negotiated,80169.57,44159.36,43298.15,35525.37
1982666111,741152597,31,DRG,negotiated,76911.98,81912.54,76213.77,62532.05
1982666111,741152597,32,DRG,negotiated,62777.59,41530.56,37995.92,31174.98
1982666111,741152597,33,DRG,negotiated,54361.03,32268.86,31412.06,25773.04
1982666111,741152597,34,DRG,negotiated,86041.91,74537.66,73964.9,60686.9
1982666111,741152597,35,DRG,negotiated,65848.39,43838.96,42236.6,34654.38
1982666111,741152597,36,DRG,negotiated,59883.28,34706.55,34781.67,28537.74
1982666111,741152597,37,DRG,negotiated,114873.3,61412.39,62380.26,51181.9
1982666111,741152597,38,DRG,negotiated,63543.06,31080.94,30246.94,24817.08
1982666111,741152597,39,DRG,negotiated,60495.58,21343.32,21318.03,17491.07
1982666111,741152597,40,DRG,negotiated,105369.23,72414.76,70062.67,57485.18
1982666111,741152597,41,DRG,negotiated,47703.54,44026.33,43240.82,35478.33
1982666111,741152597,42,DRG,negotiated,69028.51,35622.78,34208.35,28067.35
1982666111,741152597,52,DRG,negotiated,91121.01,34729.03,32924.87,27014.27
1982666111,741152597,54,DRG,negotiated,36389.99,25637.84,25651.18,21046.34
1982666111,741152597,55,DRG,negotiated,28403.91,19572.67,18647.5,15299.94
1982666111,741152597,56,DRG,negotiated,48183.2,41133.34,41256.42,33850.16
1982666111,741152597,57,DRG,negotiated,45276.95,23749.15,24069.94,19748.96
1982666111,741152597,58,DRG,negotiated,118611.5,58203.06,31907.7,26179.7
1982666111,741152597,59,DRG,negotiated,19659.78,21122.22,21147.89,17351.47
1982666111,741152597,60,DRG,negotiated,30576.46,17194.94,16761.11,13752.2
1982666111,741152597,61,DRG,negotiated,90134.93,54172.41,54235.5,44499.27
1982666111,741152597,62,DRG,negotiated,56144.07,37254.78,35456.7,29091.59
1982666111,741152597,63,DRG,negotiated,56325.45,32034.65,29239.01,23990.09
1982666111,741152597,64,DRG,negotiated,58396.63,35954.43,36470.17,29923.13
1982666111,741152597,65,DRG,negotiated,36056.66,19111.74,18797.3,15422.85
1982666111,741152597,66,DRG,negotiated,23482.66,13333.25,12918.06,10599.04
1982666111,741152597,67,DRG,negotiated,27684.19,26715.21,26152.37,21457.55
1982666111,741152597,68,DRG,negotiated,18444.23,16655.32,16713.03,13712.74
1982666111,741152597,69,DRG,negotiated,24956.34,14747.89,14756.36,12107.33
1982666111,741152597,70,DRG,negotiated,30334,31470.67,31887.35,26163.01
1982666111,741152597,71,DRG,negotiated,13786.64,18958.1,19770.09,16221.01
1982666111,741152597,72,DRG,negotiated,39663.97,14459.34,14277.37,11714.33
1982666111,741152597,73,DRG,negotiated,50272.38,27222.99,27728.05,22750.38
1982666111,741152597,74,DRG,negotiated,26814.65,19093,18930.46,15532.11
1982666111,741152597,75,DRG,negotiated,73248.56,30485.1,33751.55,27692.55
1982666111,741152597,77,DRG,negotiated,34431.47,28721.95,28928.31,23735.17
1982666111,741152597,78,DRG,negotiated,25296.08,17798.28,18360.84,15064.75
1982666111,741152597,79,DRG,negotiated,30758.35,13655.53,13572.75,11136.2
1982666111,741152597,80,DRG,negotiated,69520.27,39261.51,37724.06,30951.93
1982666111,741152597,81,DRG,negotiated,14972.02,14487.45,16616.86,13633.84
