npi,taxid,billing_code,billing_code_type,negotiated_type,aetna_open_access_managed,bcbs_tx_ppo,cigna_national_oap,uhc_choice_plus
1730132234,741152597,0001A,CPT,negotiated,29.14,52.5,28.4,23.36
1730132234,741152597,0002A,CPT,negotiated,48.98,88.25,47.74,39.27
1730132234,741152597,0003A,CPT,negotiated,47.59,85.75,46.39,38.16
1730132234,741152597,0004A,CPT,negotiated,47.59,85.75,46.39,38.16
1730132234,741152597,0011A,CPT,negotiated,29.14,52.5,28.4,23.36
1730132234,741152597,0012A,CPT,negotiated,48.98,88.25,47.74,39.27
1730132234,741152597,0013A,CPT,negotiated,47.59,85.75,46.39,38.16
1730132234,741152597,0014M,CPT,negotiated,293.32,528.5,285.92,235.18
1730132234,741152597,300,CPT,negotiated,27737.79,22390.14,27038.1,22240.21
1730132234,741152597,0031A,CPT,negotiated,28.3,51,27.59,22.7
1730132234,741152597,0032U,CPT,negotiated,246.56,444.25,240.34,73.42
1730132234,741152597,0035U,CPT,negotiated,395.58,712.75,385.6,356.38
1730132234,741152597,0042T,CPT,negotiated,2122.04,149.94,857,1043
1730132234,741152597,0054T,CPT,negotiated,2730,,15540.68,3332
1730132234,741152597,0064A,CPT,negotiated,47.59,85.75,46.39,38.16
1730132234,741152597,0064U,CPT,negotiated,71.87,129.5,70.06,64.75
1730132234,741152597,0075T,CPT,negotiated,8180,6918.66,7190,8286
1730132234,741152597,0076T,CPT,negotiated,8180,6918.66,7190,8286
1730132234,741152597,0112U,CPT,negotiated,644.36,197.21,628.1,516.64
1730132234,741152597,0152U,CPT,negotiated,1263.74,114.99,1231.86,1013.26
1730132234,741152597,0154U,CPT,negotiated,519.34,769.94,506.24,416.41
1730132234,741152597,0200T,CPT,negotiated,7804.75,7804.75,9436,7804.75
1730132234,741152597,0201T,CPT,negotiated,8180,9756.25,12698,9756.25
1730132234,741152597,0232T,CPT,negotiated,700.75,632.65,200,700.75
1730132234,741152597,0234T,CPT,negotiated,4195,7288.5,7190,4153
1730132234,741152597,0235T,CPT,negotiated,3946.33,6918.66,7190,7110.5
1730132234,741152597,0236T,CPT,negotiated,4195,7036.75,7190,4153
1730132234,741152597,0237T,CPT,negotiated,4195,6858.25,7190,4153
1730132234,741152597,0238T,CPT,negotiated,8180,8803.75,7190,4153
1730132234,741152597,0241U,CPT,negotiated,284.85,513.25,277.67,228.4
1730132234,741152597,0268U,CPT,negotiated,1608.94,1589.79,1568.36,1290.06
1730132234,741152597,0275U,CPT,negotiated,285.41,103.24,278.21,228.84
1730132234,741152597,0338T,CPT,negotiated,5817,5817,3147,5817
1730132234,741152597,0339T,CPT,negotiated,6397.75,6397.75,3461.18,6397.75
1730132234,741152597,0398T,CPT,negotiated,37356.22,21750.87,36413.9,4153
1730132234,741152597,0404T,CPT,negotiated,5897,11664.26,27699.54,13857
1730132234,741152597,0408T,CPT,negotiated,27598.21,39520.43,26902.04,18269
1730132234,741152597,0409T,CPT,negotiated,8180,39520.43,26902.04,18269
1730132234,741152597,0410T,CPT,negotiated,9200.37,13296.82,8968.29,4153
1730132234,741152597,0411T,CPT,negotiated,9200.37,13296.82,8968.29,4153
1730132234,741152597,0412T,CPT,negotiated,4195,5192.18,7381.54,12334
1730132234,741152597,0413T,CPT,negotiated,7572.56,5192.18,7381.54,12334
1730132234,741152597,0415T,CPT,negotiated,1617.41,1097.09,1576.61,2914.25
1730132234,741152597,0416T,CPT,negotiated,3649,2823.57,4036.81,4388
1730132234,741152597,0424T,CPT,negotiated,4195,50666.61,48030.39,18269
1730132234,741152597,0428T,CPT,negotiated,3649,5478.39,4330.03,8003.75
