,npi,taxid,plan_group_alias,billing_code,billing_code_type,negotiated_type,negotiated_rate_cal
0,1548387418,741180155,aetna_open_access_managed,1,DRG,negotiated,1280650
1,1548387418,741180155,aetna_open_access_managed,3,DRG,negotiated,1424437
2,1548387418,741180155,aetna_open_access_managed,4,DRG,negotiated,939348
3,1548387418,741180155,aetna_open_access_managed,11,DRG,negotiated,386636
4,1548387418,741180155,aetna_open_access_managed,16,DRG,negotiated,92864
5,1548387418,741180155,aetna_open_access_managed,18,DRG,negotiated,988123
6,1548387418,741180155,aetna_open_access_managed,20,DRG,negotiated,478475
7,1548387418,741180155,aetna_open_access_managed,21,DRG,negotiated,224654
8,1548387418,741180155,aetna_open_access_managed,23,DRG,negotiated,191956
9,1548387418,741180155,aetna_open_access_managed,25,DRG,negotiated,101453
10,1548387418,741180155,aetna_open_access_managed,26,DRG,negotiated,87204
11,1548387418,741180155,aetna_open_access_managed,27,DRG,negotiated,107829
12,1548387418,741180155,aetna_open_access_managed,28,DRG,negotiated,17387
13,1548387418,741180155,aetna_open_access_managed,29,DRG,negotiated,9078
14,1548387418,741180155,aetna_open_access_managed,30,DRG,negotiated,43990
15,1548387418,741180155,aetna_open_access_managed,31,DRG,negotiated,90766
16,1548387418,741180155,aetna_open_access_managed,32,DRG,negotiated,98081
17,1548387418,741180155,aetna_open_access_managed,33,DRG,negotiated,93707
18,1548387418,741180155,aetna_open_access_managed,37,DRG,negotiated,21890
19,1548387418,741180155,aetna_open_access_managed,38,DRG,negotiated,34712
20,1548387418,741180155,aetna_open_access_managed,40,DRG,negotiated,49944
21,1548387418,741180155,aetna_open_access_managed,41,DRG,negotiated,11371
22,1548387418,741180155,aetna_open_access_managed,42,DRG,negotiated,18066
23,1548387418,741180155,aetna_open_access_managed,52,DRG,negotiated,66520
24,1548387418,741180155,aetna_open_access_managed,54,DRG,negotiated,10494
25,1548387418,741180155,aetna_open_access_managed,56,DRG,negotiated,35181
26,1548387418,741180155,aetna_open_access_managed,57,DRG,negotiated,96322
27,1548387418,741180155,aetna_open_access_managed,59,DRG,negotiated,31135
28,1548387418,741180155,aetna_open_access_managed,60,DRG,negotiated,34955
29,1548387418,741180155,aetna_open_access_managed,62,DRG,negotiated,39003
30,1548387418,741180155,aetna_open_access_managed,63,DRG,negotiated,33288
31,1548387418,741180155,aetna_open_access_managed,64,DRG,negotiated,41386
32,1548387418,741180155,aetna_open_access_managed,65,DRG,negotiated,38317
33,1548387418,741180155,aetna_open_access_managed,68,DRG,negotiated,34166
34,1548387418,741180155,aetna_open_access_managed,69,DRG,negotiated,14115
35,1548387418,741180155,aetna_open_access_managed,70,DRG,negotiated,37321
36,1548387418,741180155,aetna_open_access_managed,82,DRG,negotiated,168930
37,1548387418,741180155,aetna_open_access_managed,83,DRG,negotiated,24707
38,1548387418,741180155,aetna_open_access_managed,86,DRG,negotiated,9114
39,1548387418,741180155,aetna_open_access_managed,91,DRG,negotiated,33952
40,1548387418,741180155,aetna_open_access_managed,92,DRG,negotiated,28623
41,1548387418,741180155,aetna_open_access_managed,93,DRG,negotiated,79163
42,1548387418,741180155,aetna_open_access_managed,94,DRG,negotiated,377888
43,1548387418,741180155,aetna_open_access_managed,95,DRG,negotiated,106508
44,1548387418,741180155,aetna_open_access_managed,97,DRG,negotiated,59447
45,1548387418,741180155,aetna_open_access_managed,98,DRG,negotiated,189605
46,1548387418,741180155,aetna_open_access_managed,99,DRG,negotiated,11034
47,1548387418,741180155,aetna_open_access_managed,100,DRG,negotiated,73940
48,1548387418,741180155,aetna_open_access_managed,101,DRG,negotiated,36353
49,1548387418,741180155,aetna_open_access_managed,103,DRG,negotiated,20052
50,1548387418,741180155,aetna_open_access_managed,113,DRG,negotiated,8598
51,1548387418,741180155,aetna_open_access_managed,115,DRG,negotiated,12738
52,1548387418,741180155,aetna_open_access_managed,123,DRG,negotiated,24568
53,1548387418,741180155,aetna_open_access_managed,125,DRG,negotiated,17862
54,1548387418,741180155,aetna_open_access_managed,135,DRG,negotiated,45877
55,1548387418,741180155,aetna_open_access_managed,142,DRG,negotiated,58385
56,1548387418,741180155,aetna_open_access_managed,149,DRG,negotiated,12417
57,1548387418,741180155,aetna_open_access_managed,153,DRG,negotiated,20773
58,1548387418,741180155,aetna_open_access_managed,154,DRG,negotiated,35705
59,1548387418,741180155,aetna_open_access_managed,158,DRG,negotiated,22956
60,1548387418,741180155,aetna_open_access_managed,159,DRG,negotiated,6190
61,1548387418,741180155,aetna_open_access_managed,163,DRG,negotiated,50723
62,1548387418,741180155,aetna_open_access_managed,164,DRG,negotiated,15514
63,1548387418,741180155,aetna_open_access_managed,165,DRG,negotiated,13769
64,1548387418,741180155,aetna_open_access_managed,166,DRG,negotiated,91247
65,1548387418,741180155,aetna_open_access_managed,168,DRG,negotiated,8880
66,1548387418,741180155,aetna_open_access_managed,175,DRG,negotiated,40221
67,1548387418,741180155,aetna_open_access_managed,176,DRG,negotiated,15097
68,1548387418,741180155,aetna_open_access_managed,177,DRG,negotiated,29419
69,1548387418,741180155,aetna_open_access_managed,178,DRG,negotiated,35135
70,1548387418,741180155,aetna_open_access_managed,180,DRG,negotiated,40003
71,1548387418,741180155,aetna_open_access_managed,181,DRG,negotiated,51793
72,1548387418,741180155,aetna_open_access_managed,186,DRG,negotiated,15953
73,1548387418,741180155,aetna_open_access_managed,189,DRG,negotiated,6395
74,1548387418,741180155,aetna_open_access_managed,190,DRG,negotiated,15653
75,1548387418,741180155,aetna_open_access_managed,191,DRG,negotiated,24370
76,1548387418,741180155,aetna_open_access_managed,193,DRG,negotiated,19257
77,1548387418,741180155,aetna_open_access_managed,194,DRG,negotiated,9563
78,1548387418,741180155,aetna_open_access_managed,195,DRG,negotiated,14985
79,1548387418,741180155,aetna_open_access_managed,196,DRG,negotiated,29140
80,1548387418,741180155,aetna_open_access_managed,198,DRG,negotiated,57641
81,1548387418,741180155,aetna_open_access_managed,199,DRG,negotiated,31643
82,1548387418,741180155,aetna_open_access_managed,202,DRG,negotiated,16097
83,1548387418,741180155,aetna_open_access_managed,204,DRG,negotiated,58820
84,1548387418,741180155,aetna_open_access_managed,205,DRG,negotiated,16125
85,1548387418,741180155,aetna_open_access_managed,208,DRG,negotiated,43148
86,1548387418,741180155,aetna_open_access_managed,215,DRG,negotiated,324486
87,1548387418,741180155,aetna_open_access_managed,216,DRG,negotiated,349850
88,1548387418,741180155,aetna_open_access_managed,219,DRG,negotiated,160377
89,1548387418,741180155,aetna_open_access_managed,220,DRG,negotiated,143701
90,1548387418,741180155,aetna_open_access_managed,224,DRG,negotiated,764582
91,1548387418,741180155,aetna_open_access_managed,227,DRG,negotiated,175946
92,1548387418,741180155,aetna_open_access_managed,228,DRG,negotiated,122634
93,1548387418,741180155,aetna_open_access_managed,229,DRG,negotiated,135839
94,1548387418,741180155,aetna_open_access_managed,233,DRG,negotiated,212849
95,1548387418,741180155,aetna_open_access_managed,235,DRG,negotiated,90520
96,1548387418,741180155,aetna_open_access_managed,236,DRG,negotiated,88797
97,1548387418,741180155,aetna_open_access_managed,239,DRG,negotiated,88831
98,1548387418,741180155,aetna_open_access_managed,242,DRG,negotiated,124353
99,1548387418,741180155,aetna_open_access_managed,244,DRG,negotiated,79644
100,1548387418,741180155,aetna_open_access_managed,246,DRG,negotiated,110288
101,1548387418,741180155,aetna_open_access_managed,247,DRG,negotiated,88145
102,1548387418,741180155,aetna_open_access_managed,251,DRG,negotiated,58844
103,1548387418,741180155,aetna_open_access_managed,252,DRG,negotiated,26970
104,1548387418,741180155,aetna_open_access_managed,253,DRG,negotiated,86263
105,1548387418,741180155,aetna_open_access_managed,264,DRG,negotiated,15561
106,1548387418,741180155,aetna_open_access_managed,266,DRG,negotiated,182823
107,1548387418,741180155,aetna_open_access_managed,267,DRG,negotiated,176407
108,1548387418,741180155,aetna_open_access_managed,269,DRG,negotiated,135913
109,1548387418,741180155,aetna_open_access_managed,270,DRG,negotiated,196439
110,1548387418,741180155,aetna_open_access_managed,271,DRG,negotiated,77577
111,1548387418,741180155,aetna_open_access_managed,273,DRG,negotiated,37519
112,1548387418,741180155,aetna_open_access_managed,274,DRG,negotiated,75946
