npi,taxid,billing_code,billing_code_type,negotiated_type,bcbs_tx_ppo,cigna_national_oap,uhc_choice_plus
1124074273,742730328,99284,CPT,negotiated,3620,3583,2169
1477643690,741100555,99285,CPT,percentage,63,64,64
1891765178,752051646,99285,CPT,percentage,84,85,85
1629021845,742781812,99284,CPT,negotiated,3620,2588,2196
1811942238,621619857,99284,CPT,negotiated,3360,9351,3615
1891765178,752051646,99284,CPT,percentage,84,85,85
1871911016,464027347,99284,CPT,negotiated,4580,5274,2673
1679528889,742781812,99284,CPT,negotiated,3720,2588,2196
1447355771,741109643,99284,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,99285,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,99283,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,J3399,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,J1569,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,J9118,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,L8614,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,G0378,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,69436,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,70553,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,J9312,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,Q5115,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,J9039,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,Q5108,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,J9266,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,93653,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,42820,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,C1767,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,95782,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,J1459,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,95810,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,J9261,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,C1713,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,C1721,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,20680,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,85025,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,70551,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,93623,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,C1730,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,41899,CPT,percentage,77.2,78.5,76.5
1447355771,741109643,J0585,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,J9070,HCPCS,percentage,77.2,78.5,76.5
1447355771,741109643,88305,CPT,percentage,77.2,78.5,76.5
