zipcode	population	latitude	longitude	state	city	county	msa	cbsa	cbsa_name	msa_name	medicarecbsacode	medicarecbsaname
73301	0	30.219702	-97.74726	TX	AUSTIN	TRAVIS	640	12420	Austin-Round Rock-Georgetown, TX	Austin-San Marcos, TX MSA	12420	Austin-Round Rock, TX
73344	0	30.2669	-97.7429	TX	AUSTIN	TRAVIS	640	12420	Austin-Round Rock-Georgetown, TX	Austin-San Marcos, TX MSA	12420	Austin-Round Rock, TX
73960	0	36.505537	-101.782938	TX	TEXHOMA	SHERMAN					99945	Rural Areas in TX
75001	12414	32.959787	-96.838472	TX	ADDISON	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75002	63140	33.083048	-96.60993	TX	ALLEN	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75006	46364	32.951364	-96.891487	TX	CARROLLTON	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75007	51624	33.003921	-96.895926	TX	CARROLLTON	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75009	8785	33.333798	-96.750487	TX	CELINA	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75010	21607	33.029434	-96.897384	TX	CARROLLTON	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75011	0	32.9538	-96.8902	TX	CARROLLTON	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75013	30347	33.114508	-96.692428	TX	ALLEN	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75014	0	32.8139	-96.9488	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75015	0	32.8139	-96.9488	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75016	0	32.8139	-96.9488	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75017	0	32.8139	-96.9488	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75019	38666	32.9601	-96.982656	TX	COPPELL	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75020	21872	33.785333	-96.607457	TX	DENISON	GRAYSON	7640	43300	Sherman-Denison, TX	Sherman-Denison, TX MSA	43300	Sherman-Denison, TX
75021	8036	33.744192	-96.478541	TX	DENISON	GRAYSON	7640	43300	Sherman-Denison, TX	Sherman-Denison, TX MSA	43300	Sherman-Denison, TX
75022	22545	33.02861	-97.121368	TX	FLOWER MOUND	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75023	45452	33.054712	-96.731202	TX	PLANO	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75024	36039	33.08382	-96.812801	TX	PLANO	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75025	50926	33.095683	-96.729308	TX	PLANO	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75026	0	33.0194	-96.6988	TX	PLANO	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75027	0	33.0364	-97.0715	TX	FLOWER MOUND	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75028	42226	33.029167	-97.068676	TX	FLOWER MOUND	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75029	0	33.0463	-96.9939	TX	LEWISVILLE	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75030	0	32.9026	-96.5636	TX	ROWLETT	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75032	27986	32.867776	-96.415583	TX	ROCKWALL	ROCKWALL	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75033	0	33.182727	-96.846311	TX	FRISCO	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75034	72723	33.150307	-96.879615	TX	FRISCO	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75035	47553	33.161516	-96.769231	TX	FRISCO	COLLIN	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75036	0	33.130647	-96.883692	TX	FRISCO	DENTON	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75038	27802	32.875007	-96.98328	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75039	11032	32.881308	-96.944848	TX	IRVING	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75040	59406	32.933134	-96.621293	TX	GARLAND	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
75041	30700	32.875319	-96.647984	TX	GARLAND	DALLAS	1922	19100	Dallas-Fort Worth-Arlington, TX	Dallas-Fort Worth, TX CMSA	19124	Dallas-Plano-Irving, TX
